val loss: 6.942860126495361 Epoch 0 - Top-1 Accuracy: 0.005, Top-5 Accuracy: 0.03
val loss: 6.261556625366211 Epoch 0 - Top-1 Accuracy: 0.005, Top-5 Accuracy: 0.035
val loss: 5.727483749389648 Epoch 1 - Top-1 Accuracy: 0.005, Top-5 Accuracy: 0.045
val loss: 5.3431396484375 Epoch 2 - Top-1 Accuracy: 0.005, Top-5 Accuracy: 0.085
val loss: 5.071584701538086 Epoch 3 - Top-1 Accuracy: 0.005, Top-5 Accuracy: 0.11
val loss: 4.754599094390869 Epoch 4 - Top-1 Accuracy: 0.01, Top-5 Accuracy: 0.145
val loss: 4.379703521728516 Epoch 5 - Top-1 Accuracy: 0.02, Top-5 Accuracy: 0.24
val loss: 3.882354259490967 Epoch 6 - Top-1 Accuracy: 0.09, Top-5 Accuracy: 0.365
val loss: 3.3345134258270264 Epoch 7 - Top-1 Accuracy: 0.24, Top-5 Accuracy: 0.505
val loss: 2.7823100090026855 Epoch 8 - Top-1 Accuracy: 0.325, Top-5 Accuracy: 0.605
val loss: 2.4066624641418457 Epoch 9 - Top-1 Accuracy: 0.37, Top-5 Accuracy: 0.67
val loss: 2.1929421424865723 Epoch 10 - Top-1 Accuracy: 0.405, Top-5 Accuracy: 0.705
val loss: 2.0308585166931152 Epoch 11 - Top-1 Accuracy: 0.415, Top-5 Accuracy: 0.76
val loss: 1.934628963470459 Epoch 12 - Top-1 Accuracy: 0.425, Top-5 Accuracy: 0.77
val loss: 1.8139560222625732 Epoch 13 - Top-1 Accuracy: 0.485, Top-5 Accuracy: 0.8
val loss: 1.8029147386550903 Epoch 14 - Top-1 Accuracy: 0.495, Top-5 Accuracy: 0.795
val loss: 1.7452888488769531 Epoch 15 - Top-1 Accuracy: 0.49, Top-5 Accuracy: 0.82
val loss: 1.7454938888549805 Epoch 16 - Top-1 Accuracy: 0.51, Top-5 Accuracy: 0.79
val loss: 1.6591227054595947 Epoch 17 - Top-1 Accuracy: 0.495, Top-5 Accuracy: 0.82
val loss: 1.6883001327514648 Epoch 18 - Top-1 Accuracy: 0.505, Top-5 Accuracy: 0.805
val loss: 1.6866438388824463 Epoch 19 - Top-1 Accuracy: 0.53, Top-5 Accuracy: 0.815
val loss: 1.638663411140442 Epoch 20 - Top-1 Accuracy: 0.515, Top-5 Accuracy: 0.815
val loss: 1.6624538898468018 Epoch 21 - Top-1 Accuracy: 0.52, Top-5 Accuracy: 0.825
val loss: 1.6312127113342285 Epoch 22 - Top-1 Accuracy: 0.54, Top-5 Accuracy: 0.805
val loss: 1.6192150115966797 Epoch 23 - Top-1 Accuracy: 0.54, Top-5 Accuracy: 0.82
val loss: 1.6450936794281006 Epoch 24 - Top-1 Accuracy: 0.525, Top-5 Accuracy: 0.82
val loss: 1.6463512182235718 Epoch 25 - Top-1 Accuracy: 0.545, Top-5 Accuracy: 0.82
val loss: 1.6418509483337402 Epoch 26 - Top-1 Accuracy: 0.53, Top-5 Accuracy: 0.81
val loss: 1.6301069259643555 Epoch 27 - Top-1 Accuracy: 0.535, Top-5 Accuracy: 0.825
val loss: 1.638803482055664 Epoch 28 - Top-1 Accuracy: 0.535, Top-5 Accuracy: 0.825
val loss: 1.6412473917007446 Epoch 29 - Top-1 Accuracy: 0.52, Top-5 Accuracy: 0.815
val loss: 1.645617961883545 Epoch 30 - Top-1 Accuracy: 0.54, Top-5 Accuracy: 0.8
val loss: 1.6293301582336426 Epoch 31 - Top-1 Accuracy: 0.52, Top-5 Accuracy: 0.825
val loss: 1.6282811164855957 Epoch 32 - Top-1 Accuracy: 0.535, Top-5 Accuracy: 0.82
val loss: 1.6372637748718262 Epoch 33 - Top-1 Accuracy: 0.545, Top-5 Accuracy: 0.795
val loss: 1.6441417932510376 Epoch 34 - Top-1 Accuracy: 0.55, Top-5 Accuracy: 0.81
val loss: 1.6455765962600708 Epoch 35 - Top-1 Accuracy: 0.53, Top-5 Accuracy: 0.815
val loss: 1.630265235900879 Epoch 36 - Top-1 Accuracy: 0.55, Top-5 Accuracy: 0.81
val loss: 1.638190507888794 Epoch 37 - Top-1 Accuracy: 0.55, Top-5 Accuracy: 0.81
val loss: 1.6305735111236572 Epoch 38 - Top-1 Accuracy: 0.545, Top-5 Accuracy: 0.815
val loss: 1.6360394954681396 Epoch 39 - Top-1 Accuracy: 0.545, Top-5 Accuracy: 0.825
val loss: 1.6343138217926025 Epoch 40 - Top-1 Accuracy: 0.535, Top-5 Accuracy: 0.81
val loss: 1.6380971670150757 Epoch 41 - Top-1 Accuracy: 0.545, Top-5 Accuracy: 0.81
val loss: 1.6337580680847168 Epoch 42 - Top-1 Accuracy: 0.55, Top-5 Accuracy: 0.81
val loss: 1.6287895441055298 Epoch 43 - Top-1 Accuracy: 0.55, Top-5 Accuracy: 0.81
val loss: 1.627553939819336 Epoch 44 - Top-1 Accuracy: 0.545, Top-5 Accuracy: 0.815
val loss: 1.6269447803497314 Epoch 45 - Top-1 Accuracy: 0.545, Top-5 Accuracy: 0.815
val loss: 1.6273458003997803 Epoch 46 - Top-1 Accuracy: 0.545, Top-5 Accuracy: 0.815
val loss: 1.627340316772461 Epoch 47 - Top-1 Accuracy: 0.545, Top-5 Accuracy: 0.815
val loss: 1.6271584033966064 Epoch 48 - Top-1 Accuracy: 0.545, Top-5 Accuracy: 0.815
val loss: 1.6271138191223145 Epoch 49 - Top-1 Accuracy: 0.545, Top-5 Accuracy: 0.815
val loss: 7.276976585388184 Epoch 0 - Top-1 Accuracy: 0.005, Top-5 Accuracy: 0.025
val loss: 6.524433135986328 Epoch 0 - Top-1 Accuracy: 0.005, Top-5 Accuracy: 0.025
val loss: 6.033815860748291 Epoch 1 - Top-1 Accuracy: 0.005, Top-5 Accuracy: 0.03
val loss: 5.612545967102051 Epoch 2 - Top-1 Accuracy: 0.015, Top-5 Accuracy: 0.04
val loss: 5.262001037597656 Epoch 3 - Top-1 Accuracy: 0.005, Top-5 Accuracy: 0.075
val loss: 4.957880973815918 Epoch 4 - Top-1 Accuracy: 0.015, Top-5 Accuracy: 0.1
val loss: 4.697315216064453 Epoch 5 - Top-1 Accuracy: 0.045, Top-5 Accuracy: 0.14
val loss: 4.4498395919799805 Epoch 6 - Top-1 Accuracy: 0.05, Top-5 Accuracy: 0.215
val loss: 4.151224136352539 Epoch 7 - Top-1 Accuracy: 0.085, Top-5 Accuracy: 0.275
